รายงานยอดขาย,,,,,,,,,,,,,,,,,,,
ชื่อบริษัท,บริษัท ธน พลัส 153 จำกัด,,,,,,,,,,,,,,,,,,
เลขผู้เสียภาษี :,0105553095785,,,,,,,,,,,,,,,,,,
ช่วงเวลา :,กุมภาพันธ์ 2026,,,,,,,,,,,,,,,,,,
,,,,,,,สกุลเงินหลัก( บาท),,,สกุลเงินอื่น,,,,,,,,,
ลำดับที่,เลขที่เอกสาร,วัน/เดือน/ปี,ชื่อลูกค้า,ชื่อโปรเจ็ค,เลขผู้เสียภาษี,สำนักงานใหญ่/สาขา,มูลค่า,ภาษีมูลค่าเพิ่ม,ยอดรวมสุทธิ,สกุลเงินในเอกสาร,อัตราแลกเปลี่ยน,ยอดรวมสุทธิ,เอกสารอ้างอิงในระบบ,เลขที่อ้างอิง,เอกสารอ้างอิงรับมัดจำ,สถานะ,พนักงานขาย,หมายเหตุ,โน้ต (สำหรับใช้ภายในบริษัท)
1,INV2026020036,05/02/2026,บริษัท เสถียรสเตนเลสสตีล จำกัด (มหาชน),,0107539000201,สำนักงานใหญ่,"7,500.00",525.00,"8,025.00",THB,1.00,"8,025.00",BL2026010039,BL2026010039,,เปิดใบเสร็จแล้ว,รัฐริญญ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
** หมายเหตุ เงื่อนไขดังนี้
1. มัดจำ 50%
2. ชำระส่วนที่เหลือก่อนส่งสินค้า
3.รับเคลมสินค้าภายใน 7 วัน สินค้าต้องอยู่ในสภาพเดิม","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026010095 มูลค่า 16,050.00 บาท"
2,INV2026020035,10/02/2026,คุณพุทธชาต  ทองกร,,,,"36,000.00","2,520.00","38,520.00",THB,1.00,"38,520.00",,QT2024010100,,เปิดใบเสร็จแล้ว,ภัควลัญชญ์ ปิติทรัพย์อาภา,"
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า",
3,INV2026020034,24/02/2026,บริษัท ชัยอุดมพืชผล จำกัด,,0335555000348,สำนักงานใหญ่,"17,010.00","1,190.70","18,200.70",THB,1.00,"18,200.70",BL2026020044,BL2026020044,,เปิดใบเสร็จแล้ว,ปภัชญา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
4,INV2026020033,24/02/2026,บริษัท ชนะชัย ขาเข้า ขาออก จำกัด,,0335549000129,สำนักงานใหญ่,"19,230.00","1,346.10","20,576.10",THB,1.00,"20,576.10",BL2026020043,BL2026020043,,เปิดใบเสร็จแล้ว,ปภัชญา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
5,INV2026020032,24/02/2026,บริษัท รีชิล คอร์ปอเรชั่น จำกัด                                                                                                                                        ,,0105567248694,สำนักงานใหญ่,"4,950.00",346.50,"5,296.50",THB,1.00,"5,296.50",BL2026020042,BL2026020042,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
6,INV2026020031,18/02/2026,บริษัท โปรเจกต์ สเปซ จำกัด ,,0105567034252,สำนักงานใหญ่,"2,400.00",168.00,"2,568.00",THB,1.00,"2,568.00",BL2026020041,BL2026020041,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026020009 มูลค่า 5,136.00 บาท"
7,INV2026020030,24/02/2026,บริษัท เอฟ แอนด์ บี บายดาว จำกัด,,0105549141034,สำนักงานใหญ่,"2,800.00",196.00,"2,996.00",THB,1.00,"2,996.00",BL2026020037,BL2026020037,,เปิดใบเสร็จแล้ว,รัฐริญญ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
วางบิล",
8,INV2026020029,24/02/2026,บริษัท เอฟ แอนด์ บี บายดาว จำกัด,,0105549141034,สำนักงานใหญ่,"10,500.00",735.00,"11,235.00",THB,1.00,"11,235.00",BL2026020035,BL2026020035,,เปิดใบเสร็จแล้ว,รัฐริญญ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
วางบิล",
9,INV2026020028,13/02/2026,บริษัท ซีคอน ดีเวลลอปเมนท์ จำกัด (มหาชน),,0107545000012,สำนักงานใหญ่,"11,820.00",827.40,"12,647.40",THB,1.00,"12,647.40",BL2026020032,BL2026020032,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026010081 มูลค่า 25,294.80 บาท"
